datetime,temp,feelslike,dew,humidity,precip,windspeed,winddir,visibility,conditions
2022-01-01T00:00:00,48.3,48.3,41.6,77.68,0.0,0.4,1.0,8.8,Partially cloudy
2022-01-01T01:00:00,48.9,48.9,43.2,80.38,0.0,0.2,1.0,3.9,Partially cloudy
2022-01-01T02:00:00,49.9,49.3,42.0,74.19,0.0,3.3,17.0,9.6,Partially cloudy
2022-01-01T03:00:00,48.2,48.2,39.0,70.43,0.0,0.4,357.0,9.8,Partially cloudy
2022-01-01T04:00:00,48.1,48.1,38.7,69.61,0.0,0.4,357.0,9.9,Partially cloudy
2022-01-01T05:00:00,47.2,47.2,38.4,71.43,0.0,0.2,359.0,9.9,Overcast
2022-01-01T06:00:00,47.1,47.1,35.1,62.93,0.0,0.3,359.0,9.9,Partially cloudy
2022-01-01T07:00:00,47.0,46.1,33.9,60.24,0.0,3.2,8.0,9.9,Partially cloudy
2022-01-01T08:00:00,47.2,47.2,35.0,62.6,0.0,0.1,6.0,9.9,Partially cloudy
2022-01-01T09:00:00,51.4,51.4,34.1,51.36,0.0,0.2,360.0,9.9,Clear
2022-01-01T10:00:00,56.1,56.1,35.8,46.49,0.0,0.3,7.0,9.9,Clear
2022-01-01T11:00:00,57.1,57.1,39.6,51.88,0.0,0.3,0.0,9.9,Clear
2022-01-01T12:00:00,58.1,58.1,40.6,52.11,0.0,0.3,11.0,9.9,Clear
2022-01-01T13:00:00,59.3,59.3,38.7,46.33,0.0,3.2,292.0,9.9,Clear
2022-01-01T14:00:00,61.1,61.1,38.0,42.36,0.0,4.8,79.0,9.9,Clear
2022-01-01T15:00:00,60.5,60.5,38.7,44.52,0.0,0.8,3.0,9.9,Clear
2022-01-01T16:00:00,60.2,60.2,38.0,43.61,0.0,6.1,268.0,9.9,Clear
2022-01-01T17:00:00,57.1,57.1,39.1,51.02,0.0,3.9,236.0,9.9,Clear
2022-01-01T18:00:00,54.3,54.3,42.1,63.31,0.0,0.3,352.0,9.9,Clear
2022-01-01T19:00:00,52.6,52.6,42.8,69.08,0.0,0.4,354.0,9.9,Clear
2022-01-01T20:00:00,50.6,50.6,42.3,73.14,0.0,0.3,358.0,9.9,Clear
2022-01-01T21:00:00,51.3,51.3,37.3,58.7,0.0,0.3,1.0,9.9,Clear
2022-01-01T22:00:00,49.2,49.2,34.1,55.87,0.0,0.2,2.0,9.9,Clear
2022-01-01T23:00:00,50.1,50.1,28.0,42.14,0.0,0.2,2.0,9.9,Clear
2022-01-02T00:00:00,48.1,46.4,27.8,45.09,0.0,4.4,17.0,9.9,Clear
2022-01-02T01:00:00,47.3,47.3,27.5,45.94,0.0,0.3,359.0,9.9,Clear
2022-01-02T02:00:00,46.2,45.3,28.4,49.64,0.0,3.1,360.0,9.9,Clear
2022-01-02T03:00:00,45.2,45.2,28.1,51.06,0.0,0.2,359.0,9.9,Clear
2022-01-02T04:00:00,44.3,44.3,28.8,54.24,0.0,0.3,1.0,9.9,Clear
2022-01-02T05:00:00,44.2,44.2,28.7,54.06,0.0,0.4,359.0,9.9,Clear
2022-01-02T06:00:00,45.0,43.5,24.5,44.18,0.0,3.5,1.0,9.9,Clear
2022-01-02T07:00:00,44.0,41.5,25.1,47.08,0.0,4.7,11.0,9.9,Clear
2022-01-02T08:00:00,46.3,45.3,25.0,42.96,0.0,3.2,11.0,9.9,Clear
2022-01-02T09:00:00,50.2,50.2,27.7,41.43,0.0,0.5,3.0,9.9,Clear
2022-01-02T10:00:00,55.3,55.3,24.7,30.5,0.0,1.0,50.0,9.9,Clear
2022-01-02T11:00:00,58.0,58.0,24.6,27.49,0.0,3.5,20.0,9.9,Clear
2022-01-02T12:00:00,60.3,60.3,21.0,21.67,0.0,3.8,68.0,9.9,Clear
2022-01-02T13:00:00,62.3,62.3,18.1,17.92,0.0,4.7,78.0,9.9,Clear
2022-01-02T14:00:00,63.2,63.2,16.2,15.95,0.0,3.4,351.0,9.9,Clear
2022-01-02T15:00:00,63.4,63.4,15.2,15.21,0.0,2.9,0.0,9.9,Clear
2022-01-02T16:00:00,64.0,64.0,16.8,15.97,0.0,1.4,246.0,9.9,Clear
2022-01-02T17:00:00,59.0,59.0,33.7,38.46,0.0,6.8,264.0,9.9,Clear
2022-01-02T18:00:00,55.3,55.3,36.8,49.68,0.0,1.0,343.0,9.9,Clear
2022-01-02T19:00:00,53.4,53.4,37.3,54.24,0.0,1.5,276.0,9.9,Clear
2022-01-02T20:00:00,50.6,50.6,38.1,62.01,0.0,0.8,345.0,9.9,Clear
2022-01-02T21:00:00,48.6,48.6,35.8,61.12,0.0,0.8,346.0,9.9,Clear
2022-01-02T22:00:00,48.5,48.5,32.2,53.2,0.0,0.2,320.0,9.9,Clear
2022-01-02T23:00:00,47.4,47.4,29.8,50.23,0.0,0.3,358.0,9.9,Clear
2022-01-03T00:00:00,47.2,47.2,27.6,46.22,0.0,0.2,2.0,9.9,Clear
2022-01-03T01:00:00,47.2,47.2,26.3,43.89,0.0,0.5,355.0,9.9,Clear
2022-01-03T02:00:00,46.2,46.2,26.3,45.64,0.0,0.1,5.0,9.9,Clear
2022-01-03T03:00:00,45.1,45.1,26.4,47.58,0.0,3.0,10.0,9.9,Clear
2022-01-03T04:00:00,45.0,43.7,25.5,46.1,0.0,3.2,2.0,9.9,Clear
2022-01-03T05:00:00,44.1,44.1,26.2,49.1,0.0,3.0,20.0,9.9,Clear
2022-01-03T06:00:00,44.8,43.6,24.5,44.69,0.0,3.2,8.0,9.9,Clear
2022-01-03T07:00:00,43.2,43.2,26.1,50.7,0.0,2.9,360.0,9.9,Clear
2022-01-03T08:00:00,44.3,44.3,27.2,50.78,0.0,0.2,6.0,9.9,Clear
2022-01-03T09:00:00,51.1,51.1,26.3,37.87,0.0,0.1,358.0,9.9,Clear
2022-01-03T10:00:00,56.7,56.7,24.3,28.42,0.0,0.0,270.8,9.9,Clear
2022-01-03T11:00:00,58.1,58.1,24.1,26.82,0.0,0.1,354.0,9.9,Clear
