datetime,temp,feelslike,dew,humidity,precip,windspeed,winddir,visibility,conditions
2022-01-01T00:00:00,44.8,40.3,36.0,71.0,0.0,8.3,343.0,9.9,Clear
2022-01-01T01:00:00,41.9,41.9,35.3,77.31,0.0,1.2,358.0,9.6,Clear
2022-01-01T02:00:00,41.6,39.9,35.6,79.2,0.0,3.2,122.0,9.7,Clear
2022-01-01T03:00:00,37.8,34.9,33.6,84.44,0.0,4.0,92.0,9.9,Clear
2022-01-01T04:00:00,39.2,36.5,34.8,84.14,0.0,3.9,24.0,9.9,Clear
2022-01-01T05:00:00,38.4,38.4,34.4,85.36,0.0,2.5,360.0,9.9,Clear
2022-01-01T06:00:00,38.1,38.1,34.5,86.6,0.0,0.0,0.0,9.9,Clear
2022-01-01T07:00:00,38.1,38.1,33.5,83.34,0.0,0.0,0.0,9.9,Partially cloudy
2022-01-01T08:00:00,37.0,34.2,33.0,85.32,0.0,3.7,82.0,9.9,Partially cloudy
2022-01-01T09:00:00,42.0,42.0,35.6,77.88,0.0,0.7,320.0,9.9,Partially cloudy
2022-01-01T10:00:00,46.5,45.6,37.3,69.96,0.0,3.2,97.0,9.9,Partially cloudy
2022-01-01T11:00:00,47.6,45.0,36.2,64.5,0.0,5.7,167.0,9.9,Partially cloudy
2022-01-01T12:00:00,49.0,46.3,31.2,50.07,0.0,6.4,263.0,9.9,Partially cloudy
2022-01-01T13:00:00,49.4,47.4,30.1,47.11,0.0,5.3,207.0,9.9,Partially cloudy
2022-01-01T14:00:00,49.6,47.8,31.0,48.64,0.0,4.8,265.0,9.9,Partially cloudy
2022-01-01T15:00:00,50.5,50.5,31.8,48.55,0.0,5.7,285.0,9.9,Partially cloudy
2022-01-01T16:00:00,50.4,50.4,29.7,44.81,0.0,3.7,302.0,9.9,Partially cloudy
2022-01-01T17:00:00,49.2,49.2,33.0,53.51,0.0,1.6,9.0,9.9,Partially cloudy
2022-01-01T18:00:00,47.3,47.3,29.7,50.25,0.0,1.9,24.0,9.9,Partially cloudy
2022-01-01T19:00:00,43.2,41.4,33.0,67.11,0.0,3.6,94.0,9.9,Clear
2022-01-01T20:00:00,41.0,37.5,32.1,70.36,0.0,5.2,63.0,9.9,Clear
2022-01-01T21:00:00,40.1,36.2,30.8,69.3,0.0,5.5,32.0,9.9,Clear
2022-01-01T22:00:00,41.1,41.1,30.0,64.45,0.0,2.3,89.0,9.9,Clear
2022-01-01T23:00:00,37.3,32.6,28.7,70.57,0.0,5.9,46.0,9.9,Clear
2022-01-02T00:00:00,39.2,36.2,30.0,69.3,0.0,4.2,121.0,9.9,Clear
2022-01-02T01:00:00,38.0,35.3,28.8,69.13,0.0,3.7,5.0,9.9,Clear
2022-01-02T02:00:00,36.3,36.3,29.1,75.07,0.0,2.9,54.0,9.9,Clear
2022-01-02T03:00:00,36.1,36.1,29.7,77.33,0.0,1.7,345.0,9.9,Clear
2022-01-02T04:00:00,34.7,31.4,28.3,77.39,0.0,3.8,50.0,9.9,Clear
2022-01-02T05:00:00,34.7,31.4,28.9,79.37,0.0,3.8,83.0,9.9,Clear
2022-01-02T06:00:00,35.5,35.5,29.1,77.18,0.0,1.1,348.0,9.9,Clear
2022-01-02T07:00:00,34.2,34.2,28.7,79.88,0.0,1.3,343.0,9.9,Partially cloudy
2022-01-02T08:00:00,35.0,31.7,30.0,81.97,0.0,3.8,88.0,9.9,Partially cloudy
2022-01-02T09:00:00,41.4,41.4,32.7,71.21,0.0,1.3,53.0,9.9,Partially cloudy
2022-01-02T10:00:00,45.2,45.2,33.4,63.19,0.0,0.5,90.0,9.9,Partially cloudy
2022-01-02T11:00:00,46.4,43.9,33.7,60.86,0.0,5.2,142.0,9.9,Partially cloudy
2022-01-02T12:00:00,46.7,44.2,35.4,64.42,0.0,5.2,214.0,9.9,Partially cloudy
