Model: CAST | Data: PEMS04.npz | H/P: 96/12 | Time: 23.04m | MSE: 0.09 | MAE: 0.1958 | RMSE: 0.283 | MAPE: 1.3704 | MSPE: 4578.5367
Model: CAST | Data: PEMS04.npz | H/P: 96/24 | Time: 22.51m | MSE: 0.1247 | MAE: 0.2327 | RMSE: 0.3352 | MAPE: 1.6979 | MSPE: 8135.4631
Model: CAST | Data: PEMS04.npz | H/P: 96/48 | Time: 23.02m | MSE: 0.1991 | MAE: 0.302 | RMSE: 0.4315 | MAPE: 2.1548 | MSPE: 17817.632
Model: CAST | Data: PEMS04.npz | H/P: 96/96 | Time: 21.77m | MSE: 0.3145 | MAE: 0.3944 | RMSE: 0.5522 | MAPE: 2.6655 | MSPE: 35222.0876
Model: CAST | Data: PEMS03.npz | H/P: 96/12 | Time: 32.63m | MSE: 0.0725 | MAE: 0.1785 | RMSE: 0.2521 | MAPE: 1.4209 | MSPE: 7881.6946
Model: CAST | Data: PEMS03.npz | H/P: 96/24 | Time: 22.23m | MSE: 0.105 | MAE: 0.2166 | RMSE: 0.3053 | MAPE: 1.7011 | MSPE: 9719.3106
Model: CAST | Data: PEMS03.npz | H/P: 96/48 | Time: 24.14m | MSE: 0.1749 | MAE: 0.2843 | RMSE: 0.3987 | MAPE: 2.0214 | MSPE: 12188.0072
Model: CAST | Data: PEMS03.npz | H/P: 96/96 | Time: 21.02m | MSE: 0.2822 | MAE: 0.3737 | RMSE: 0.5207 | MAPE: 2.2193 | MSPE: 11962.302
Model: CAST | Data: PEMS07.npz | H/P: 96/12 | Time: 45.67m | MSE: 0.0668 | MAE: 0.1667 | RMSE: 0.2513 | MAPE: 1.6232 | MSPE: 67567.7395
Model: CAST | Data: PEMS07.npz | H/P: 96/24 | Time: 102.5m | MSE: 0.0966 | MAE: 0.2008 | RMSE: 0.3032 | MAPE: 1.8944 | MSPE: 55664.7305
Model: CAST | Data: PEMS07.npz | H/P: 96/48 | Time: 47.69m | MSE: 0.1525 | MAE: 0.2576 | RMSE: 0.3828 | MAPE: 2.1995 | MSPE: 55757.4106
Model: CAST | Data: PEMS07.npz | H/P: 96/96 | Time: 41.8m | MSE: 0.2255 | MAE: 0.323 | RMSE: 0.4702 | MAPE: 2.5479 | MSPE: 74514.6798
Model: CAST | Data: PEMS04_2018_Fused.npz | H/P: 96/12 | Time: 23.64m | MSE: 0.0918 | MAE: 0.199 | RMSE: 0.2866 | MAPE: 1.2898 | MSPE: 3581.4676
Model: CAST | Data: PEMS04_2018_Fused.npz | H/P: 96/24 | Time: 19.63m | MSE: 0.1326 | MAE: 0.242 | RMSE: 0.3464 | MAPE: 1.6555 | MSPE: 6791.1641
Model: CAST | Data: PEMS07.npz | H/P: 96/12 | Time: 45.06m | MSE: 0.0668 | MAE: 0.1667 | RMSE: 0.2513 | MAPE: 1.6232 | MSPE: 67567.7395
Model: CAST | Data: PEMS04_2018_Fused.npz | H/P: 96/48 | Time: 19.71m | MSE: 0.2169 | MAE: 0.3179 | RMSE: 0.4524 | MAPE: 2.0606 | MSPE: 9780.9478
Model: CAST | Data: PEMS04_2018_Fused.npz | H/P: 96/96 | Time: 20.16m | MSE: 0.3644 | MAE: 0.4327 | RMSE: 0.5958 | MAPE: 2.4966 | MSPE: 13294.3797
Model: CAST | Data: PEMS03_2018_Fused.npz | H/P: 96/12 | Time: 30.0m | MSE: 0.0906 | MAE: 0.2015 | RMSE: 0.2802 | MAPE: 2.7963 | MSPE: 181314.2025
Model: CAST | Data: PEMS07.npz | H/P: 96/24 | Time: 98.48m | MSE: 0.0966 | MAE: 0.2008 | RMSE: 0.3032 | MAPE: 1.8944 | MSPE: 55664.7305
Model: CAST | Data: PEMS03_2018_Fused.npz | H/P: 96/24 | Time: 15.06m | MSE: 0.1931 | MAE: 0.294 | RMSE: 0.3989 | MAPE: 3.9612 | MSPE: 393438.127
Model: CAST | Data: PEMS03_2018_Fused.npz | H/P: 96/48 | Time: 21.37m | MSE: 0.2849 | MAE: 0.3529 | RMSE: 0.4887 | MAPE: 4.5113 | MSPE: 577194.3445
Model: CAST | Data: PEMS07.npz | H/P: 96/48 | Time: 47.32m | MSE: 0.1525 | MAE: 0.2576 | RMSE: 0.3828 | MAPE: 2.1995 | MSPE: 55757.4106
Model: CAST | Data: PEMS03_2018_Fused.npz | H/P: 96/96 | Time: 12.39m | MSE: 0.43 | MAE: 0.4758 | RMSE: 0.6437 | MAPE: 5.6643 | MSPE: 1247438.7994
Model: CAST | Data: PEMS07.npz | H/P: 96/96 | Time: 41.1m | MSE: 0.2255 | MAE: 0.323 | RMSE: 0.4702 | MAPE: 2.5479 | MSPE: 74514.6798
Model: CAST | Data: PEMS08.npz | H/P: 96/12 | Time: 16.95m | MSE: 0.0794 | MAE: 0.1817 | RMSE: 0.271 | MAPE: 1.6179 | MSPE: 5812.178
Model: CAST | Data: PEMS03_2018_Fused_Norm.npz | H/P: 96/12 | Time: 11.21m | MSE: 0.0895 | MAE: 0.2069 | RMSE: 0.2835 | MAPE: 2.9785 | MSPE: 225560.9192
Model: CAST | Data: PEMS08.npz | H/P: 96/24 | Time: 33.85m | MSE: 0.1156 | MAE: 0.2189 | RMSE: 0.328 | MAPE: 1.9516 | MSPE: 9909.6829
Model: CAST | Data: PEMS03_2018_Fused_Norm.npz | H/P: 96/24 | Time: 12.9m | MSE: 0.1645 | MAE: 0.2726 | RMSE: 0.3733 | MAPE: 3.3968 | MSPE: 290914.4889
Model: CAST | Data: PEMS03_2018_Fused_Norm.npz | H/P: 96/48 | Time: 14.91m | MSE: 0.2566 | MAE: 0.3534 | RMSE: 0.4895 | MAPE: 4.2665 | MSPE: 507588.7233
Model: CAST | Data: PEMS08.npz | H/P: 96/48 | Time: 35.56m | MSE: 0.2025 | MAE: 0.2908 | RMSE: 0.4323 | MAPE: 2.3686 | MSPE: 12798.8511
Model: CAST | Data: PEMS03_2018_Fused_Norm.npz | H/P: 96/96 | Time: 27.06m | MSE: 0.3784 | MAE: 0.4319 | RMSE: 0.5974 | MAPE: 5.1623 | MSPE: 976187.7826
Model: CAST | Data: PEMS08.npz | H/P: 96/96 | Time: 21.71m | MSE: 0.3636 | MAE: 0.3903 | RMSE: 0.5792 | MAPE: 2.6885 | MSPE: 12925.638
Model: CAST | Data: PEMS03_2018_Fused_Norm.npz | H/P: 96/12 | Time: 9.98m | MSE: 0.1028 | MAE: 0.2219 | RMSE: 0.3012 | MAPE: 2.9004 | MSPE: 217094.9182
Model: CAST | Data: PEMS03_2018_Fused_Norm.npz | H/P: 96/24 | Time: 9.32m | MSE: 0.1293 | MAE: 0.243 | RMSE: 0.3377 | MAPE: 3.4066 | MSPE: 305360.5354
Model: CAST | Data: PEMS03_2018_Fused_Norm.npz | H/P: 96/48 | Time: 10.26m | MSE: 0.2279 | MAE: 0.3259 | RMSE: 0.4508 | MAPE: 4.4 | MSPE: 600714.5942
Model: CAST | Data: PEMS03_2018_Fused_Norm.npz | H/P: 96/96 | Time: 10.53m | MSE: 0.393 | MAE: 0.4409 | RMSE: 0.6058 | MAPE: 5.5585 | MSPE: 1306716.0045
Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/12 | Time: 18.8m | MSE: 0.0916 | MAE: 0.199 | RMSE: 0.2862 | MAPE: 1.2862 | MSPE: 3576.1403
Model: CAST | Data: PEMS04_2018_Fused.npz | H/P: 96/24 | Time: 14.65m | MSE: 0.1326 | MAE: 0.242 | RMSE: 0.3464 | MAPE: 1.6555 | MSPE: 6791.1641
Model: CAST | Data: PEMS04_2018_Fused.npz | H/P: 96/48 | Time: 15.48m | MSE: 0.2169 | MAE: 0.3179 | RMSE: 0.4524 | MAPE: 2.0606 | MSPE: 9780.9478
Model: CAST | Data: PEMS04_2018_Fused.npz | H/P: 96/96 | Time: 15.75m | MSE: 0.3644 | MAE: 0.4327 | RMSE: 0.5958 | MAPE: 2.4966 | MSPE: 13294.3797
Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/12 | Time: 18.81m | MSE: 0.0916 | MAE: 0.199 | RMSE: 0.2862 | MAPE: 1.2862 | MSPE: 3576.1403
Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/24 | Time: 15.44m | MSE: 0.1303 | MAE: 0.2401 | RMSE: 0.3435 | MAPE: 1.654 | MSPE: 7290.6893
Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/48 | Time: 21.25m | MSE: 0.2071 | MAE: 0.3123 | RMSE: 0.443 | MAPE: 2.0496 | MSPE: 9598.8598
Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/96 | Time: 21.48m | MSE: 0.3598 | MAE: 0.4287 | RMSE: 0.5927 | MAPE: 2.4835 | MSPE: 13483.3761
Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/12 | Time: 18.96m | MSE: 0.0916 | MAE: 0.199 | RMSE: 0.2862 | MAPE: 1.2862 | MSPE: 3576.1403
Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/24 | Time: 15.55m | MSE: 0.1303 | MAE: 0.2401 | RMSE: 0.3435 | MAPE: 1.654 | MSPE: 7290.6893
Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/48 | Time: 21.36m | MSE: 0.2071 | MAE: 0.3123 | RMSE: 0.443 | MAPE: 2.0496 | MSPE: 9598.8598
Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/96 | Time: 21.75m | MSE: 0.3598 | MAE: 0.4287 | RMSE: 0.5927 | MAPE: 2.4835 | MSPE: 13483.3761
Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/12 | Time: 19.05m | MSE: 0.0916 | MAE: 0.199 | RMSE: 0.2862 | MAPE: 1.2862 | MSPE: 3576.1403
Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/24 | Time: 15.53m | MSE: 0.1303 | MAE: 0.2401 | RMSE: 0.3435 | MAPE: 1.654 | MSPE: 7290.6893
Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/48 | Time: 21.34m | MSE: 0.2071 | MAE: 0.3123 | RMSE: 0.443 | MAPE: 2.0496 | MSPE: 9598.8598
Model: CAST_Ablation | Data: PEMS04_2018_Fused.npz | H/P: 96/96 | Time: 21.73m | MSE: 0.3598 | MAE: 0.4287 | RMSE: 0.5927 | MAPE: 2.4835 | MSPE: 13483.3761
Model: CAST | Data: PEMS07_2017_Fused_Norm.npz | H/P: 96/12 | Time: 17.9m | MSE: 0.0701 | MAE: 0.1726 | RMSE: 0.2579 | MAPE: 2.1065 | MSPE: 128954.2812
Model: CAST | Data: PEMS07_2017_Fused_Norm.npz | H/P: 96/24 | Time: 28.64m | MSE: 0.1053 | MAE: 0.2129 | RMSE: 0.3164 | MAPE: 2.4873 | MSPE: 152800.6357
Model: CAST | Data: PEMS07_2017_Fused_Norm.npz | H/P: 96/48 | Time: 29.41m | MSE: 0.1705 | MAE: 0.2763 | RMSE: 0.4044 | MAPE: 3.1953 | MSPE: 327629.5781
Model: CAST | Data: PEMS07_2017_Fused_Norm.npz | H/P: 96/96 | Time: 28.05m | MSE: 0.261 | MAE: 0.3528 | RMSE: 0.5054 | MAPE: 4.1 | MSPE: 710295.0059
