Model,Dataset,Hist_Len,Pred_Len,Train_Time(min),MSE,MAE,RMSE,MAPE,MSPE
CAST,PEMS04.npz,96,12,23.04,0.09,0.1958,0.283,1.3704,4578.5367
CAST,PEMS04.npz,96,24,22.51,0.1247,0.2327,0.3352,1.6979,8135.4631
CAST,PEMS04.npz,96,48,23.02,0.1991,0.302,0.4315,2.1548,17817.632
CAST,PEMS04.npz,96,96,21.77,0.3145,0.3944,0.5522,2.6655,35222.0876
CAST,PEMS03.npz,96,12,32.63,0.0725,0.1785,0.2521,1.4209,7881.6946
CAST,PEMS03.npz,96,24,22.23,0.105,0.2166,0.3053,1.7011,9719.3106
CAST,PEMS03.npz,96,48,24.14,0.1749,0.2843,0.3987,2.0214,12188.0072
CAST,PEMS03.npz,96,96,21.02,0.2822,0.3737,0.5207,2.2193,11962.302
CAST,PEMS04_2018_Fused.npz,96,12,23.64,0.0918,0.199,0.2866,1.2898,3581.4676
CAST,PEMS04_2018_Fused.npz,96,24,19.63,0.1326,0.242,0.3464,1.6555,6791.1641
CAST,PEMS04_2018_Fused.npz,96,48,19.71,0.2169,0.3179,0.4524,2.0606,9780.9478
CAST,PEMS04_2018_Fused.npz,96,96,20.16,0.3644,0.4327,0.5958,2.4966,13294.3797
CAST,PEMS07.npz,96,12,45.06,0.0668,0.1667,0.2513,1.6232,67567.7395
CAST,PEMS07.npz,96,24,98.48,0.0966,0.2008,0.3032,1.8944,55664.7305
CAST,PEMS07.npz,96,48,47.32,0.1525,0.2576,0.3828,2.1995,55757.4106
CAST,PEMS07.npz,96,96,41.1,0.2255,0.323,0.4702,2.5479,74514.6798
CAST,PEMS03_2018_Fused.npz,96,12,30,0.0906,0.2015,0.2802,2.7963,181314.2025
CAST,PEMS03_2018_Fused.npz,96,24,15.06,0.1931,0.294,0.3989,3.9612,393438.127
CAST,PEMS03_2018_Fused.npz,96,48,21.37,0.2849,0.3529,0.4887,4.5113,577194.3445
CAST,PEMS03_2018_Fused.npz,96,96,12.39,0.43,0.4758,0.6437,5.6643,1247438.799
CAST,PEMS03_2018_Fused_Norm.npz,96,12,11.21,0.0895,0.2069,0.2835,2.9785,225560.9192
CAST,PEMS03_2018_Fused_Norm.npz,96,24,12.9,0.1645,0.2726,0.3733,3.3968,290914.4889
CAST,PEMS03_2018_Fused_Norm.npz,96,48,14.91,0.2566,0.3534,0.4895,4.2665,507588.7233
CAST,PEMS03_2018_Fused_Norm.npz,96,96,27.06,0.3784,0.4319,0.5974,5.1623,976187.7826
CAST,PEMS08.npz,96,12,16.95,0.0794,0.1817,0.271,1.6179,5812.178
CAST,PEMS08.npz,96,24,33.85,0.1156,0.2189,0.328,1.9516,9909.6829
CAST,PEMS08.npz,96,48,35.56,0.2025,0.2908,0.4323,2.3686,12798.8511
CAST,PEMS08.npz,96,96,21.71,0.3636,0.3903,0.5792,2.6885,12925.638
CAST_Ablation,PEMS04_2018_Fused.npz,96,12,18.81,0.0916,0.199,0.2862,1.2862,3576.1403
CAST_Ablation,PEMS04_2018_Fused.npz,96,24,15.44,0.1303,0.2401,0.3435,1.654,7290.6893
CAST_Ablation,PEMS04_2018_Fused.npz,96,48,21.25,0.2071,0.3123,0.443,2.0496,9598.8598
CAST_Ablation,PEMS04_2018_Fused.npz,96,96,21.48,0.3598,0.4287,0.5927,2.4835,13483.3761
CAST_Ablation,PEMS04_2018_Fused.npz,96,12,18.96,0.0916,0.199,0.2862,1.2862,3576.1403
CAST_Ablation,PEMS04_2018_Fused.npz,96,24,15.55,0.1303,0.2401,0.3435,1.654,7290.6893
CAST_Ablation,PEMS04_2018_Fused.npz,96,48,21.36,0.2071,0.3123,0.443,2.0496,9598.8598
CAST_Ablation,PEMS04_2018_Fused.npz,96,96,21.75,0.3598,0.4287,0.5927,2.4835,13483.3761
CAST_Ablation,PEMS04_2018_Fused.npz,96,12,19.05,0.0916,0.199,0.2862,1.2862,3576.1403
CAST_Ablation,PEMS04_2018_Fused.npz,96,24,15.53,0.1303,0.2401,0.3435,1.654,7290.6893
CAST_Ablation,PEMS04_2018_Fused.npz,96,48,21.34,0.2071,0.3123,0.443,2.0496,9598.8598
CAST_Ablation,PEMS04_2018_Fused.npz,96,96,21.73,0.3598,0.4287,0.5927,2.4835,13483.3761
CAST,PEMS07_2017_Fused_Norm.npz,96,12,17.9,0.0701,0.1726,0.2579,2.1065,128954.2812
CAST,PEMS07_2017_Fused_Norm.npz,96,24,28.64,0.1053,0.2129,0.3164,2.4873,152800.6357
CAST,PEMS07_2017_Fused_Norm.npz,96,48,29.41,0.1705,0.2763,0.4044,3.1953,327629.5781
CAST,PEMS07_2017_Fused_Norm.npz,96,96,28.05,0.261,0.3528,0.5054,4.1,710295.0059
CAST,PEMS08_2016_Fused_Norm.npz,96,12,17.66,0.0787,0.1837,0.2696,1.1552,745.8388
CAST,PEMS08_2016_Fused_Norm.npz,96,24,15.71,0.1142,0.2232,0.3262,1.4069,1178.6025
CAST,PEMS08_2016_Fused_Norm.npz,96,48,15.67,0.1969,0.3021,0.4316,1.7699,1431.8905
CAST,PEMS08_2016_Fused_Norm.npz,96,96,18.43,0.3475,0.4165,0.579,2.1701,1926.6529
CAST,PEMS04_2018_Fused.npz,96,96,0,0.3644,0.4327,0.5958,2.4966,13294.3797
CAST,PEMS04_2018_Fused.npz,96,96,0,0.3644,0.4327,0.5958,2.4966,13294.3797
CAST,PEMS04_2018_Fused.npz,96,96,0,0.3644,0.4327,0.5958,2.4966,13294.3797
CAST,PEMS04_2018_Fused.npz,96,96,0,5544.2167,50.9217,73.5236,599631.9796,356298934824840.7
CAST,PEMS04_2018_Fused.npz,96,96,0,5544.2148,50.9217,74.4595,599630.625,356298172399616.0,original
CAST,PEMS04.npz,96,96,0,4771.4868,46.3075,69.076,1053412.375,1416848373448704.0,original
CAST,PEMS04_2018_Fused.npz,96,12,0,1333.7411,23.068,36.5204,200972.9844,67635991543808.0,original
